file,caption
01 Quais du Belvedere - Lac de Montreux Suisse Photo H.Yousse.jpg,Quais du Belved&#xE9;re - Lac de Montreux Suisse \n Photo : H.Yousse
04 Bronze (detail) patine blanchep hoto T.Bodin.jpg,Bronze (d&#xE9;tail) patine blanche \n Photo : T.Bodin
05 Bronzes numerotes patine blanche Photo JM. Oliveras.jpg,Bronzes num&#xE9;rot&#xE9;s patine blanche \n Photo : J.M.Oliveras
14 Bronze numerote patine noire Photo T.Bodin.jpg,Bronze numerot&#xE9; patine noire \n Photo : T.Bodin
16 Bronze numerote patine blanche photo T.Bodin.jpg,Bronze numerot&#xE9; patine blanche \n Photo : T.Bodin
22 Bronze (detail) patine noire photo T.Bodin.jpg,Bronze (d&#xE9;tail) patine noire \n Photo : T.Bodin
08 Bronze numerote patine noire Photo H.Yousse.jpg,Bronze pi&#xE9;ce patine noire \n Photo : H.Yousse
37 Bronze numerote patine noire Photo T.Bodin.jpg,Bronze numerot&#xE9; patine noire \n Photo : T.Bodin
