file,caption
01 Quais du Belvedere - Lac de Montreux Suisse Photo H.Yousse.jpg, Quais du Belvedére - Lac de Montreux Suisse \n Photo: H.Yousse
04 Bronze (detail) patine blanchep hoto T.Bodin.jpg, Bronze (détail) patine blanche \n Photo: T.Bodin
05 Bronzes numerotes patine blanche Photo JM. Oliveras.jpg, Bronzes numérotés patine blanche \n Photo: J.M.Oliveras
14 Bronze numerote patine noire Photo T.Bodin.jpg, Bronze numeroté patine noire \n Photo T.Bodin
16 Bronze numerote patine blanche photo T.Bodin.jpg, Bronze numeroté patine blanche \n Photo: T.Bodin
22 Bronze (detail) patine noire photo T.Bodin.jpg, Bronze (détail) patine noire \n Photo: T.Bodin
08 Bronze numerote patine noire Photo H.Yousse.jpg, Bronze piéce patine noire \n Photo: H.Yousse
37 Bronze numerote patine noire Photo T.Bodin.jpg, Bronze numeroté patine noire \n Photo T.Bodin
